"jahr","gemeinde_bfsnr","listen_code","listen_nr","waehlerproz"
2019,30230,"EVP",7,NA
2019,30230,"AL",8,NA
2019,30230,"BDP",9,NA
2019,30230,"EDU",10,NA
2019,40230,"SVP",1,NA
2019,40230,"SP",2,NA
2019,40230,"FDP",3,NA
2019,40230,"GLP",4,NA
2019,40230,"Grüne",5,NA
2019,40230,"CVP",6,NA
2019,40230,"EVP",7,NA
2019,40230,"AL",8,NA
2019,40230,"BDP",9,NA
2019,40230,"EDU",10,NA
2019,50230,"SVP",1,NA
2019,50230,"SP",2,NA
2019,50230,"FDP",3,NA
2019,50230,"GLP",4,NA
2019,50230,"Grüne",5,NA
2019,50230,"CVP",6,NA
2019,50230,"EVP",7,NA
2019,50230,"AL",8,NA
2019,50230,"BDP",9,NA
2019,50230,"EDU",10,NA
2019,60230,"SVP",1,NA
2019,60230,"SP",2,NA
2019,60230,"FDP",3,NA
2019,60230,"GLP",4,NA
